SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 28709;Mast;63.54964703;27.18614087;407;FLG W;H24;124
EFINOB 28711;Mast;62.88663633;27.59329652;365;F R;HN;111
EFINOB 29236;Mast;62.63393413;26.76802161;345;F R;HN;105
EFINOB 29370;Mast;64.28503583;24.00939583;493;FLG R;H24;150
EFINOB 29413;Mast;63.65966711;26.57684922;394;F R;HN;120
EFINOB 29416;Mast;62.65041222;30.9339859;342;F R;HN;104
EFINOB 30103;Mast;61.001178;28.65582898;427;FLG R;HN;130
EFINOB 30218;Mast;62.71015226;21.70300768;394;F R;HN;120
EFINOB 30318;Mast;62.17542274;21.62874993;394;F R;HN;120
EFINOB 30553;Mast;60.50017128;27.71193728;427;FLG R;HN;130
EFINOB 30601;Mast;63.21755507;21.57449891;394;F R;HN;120
EFINOB 30637;Mast;61.76569456;21.56176792;329;F R;HN;100
EFINOB 30832;Mast;62.1683989;21.74179386;394;F R;HN;120
EFINOB 30999;Mast;60.39738736;22.82672485;329;F R;HN;100
EFINOB 31037;Mast;64.87864003;28.92957304;342;F R;HN;104
EFINOB 31042;Mast;64.5724213;26.8806468;437;FLG R;HN;133
EFINOB 31049;Mast;63.9617351;29.68789566;338;F R;HN;103
EFINOB 31109;Mast;62.71224987;25.24964998;381;F R;HN;116
EFINOB 31222;Mast;61.59338764;25.71656126;338;F R;HN;103
EFINOB 31223;Mast;61.51766434;25.70473019;342;F R;HN;104
EFINOB 31332;Mast;60.74288397;26.85917115;329;F R;HN;100
EFINOB 31430;Mast;61.43097103;29.36594307;329;F R;HN;100
EFINOB 31462;Mast;60.92726765;27.56916947;329;F R;HN;100
EFINOB 31463;Mast;61.53613477;28.18880586;329;F R;HN;100
EFINOB 31481;Mast;60.57972994;27.19755792;329;F R;HN;100
EFINOB 31490;Mast;61.27901897;26.62778413;329;F R;HN;100
EFINOB 31502;Mast;60.87785254;26.70746743;450;F R;HN;137
EFINOB 31507;Mast;63.49102448;29.48463286;329;F R;HN;100
EFINOB 31572;Mast;60.51250224;26.79802929;329;F R;HN;100
EFINOB 31804;Mast;63.0523829;25.63701072;335;F R;HN;102
EFINOB 31805;Mast;63.01451406;25.06126804;342;F R;HN;104
EFINOB 31814;Mast;62.24999759;24.48189686;335;F R;HN;102
EFINOB 31817;Mast;62.25572979;24.88227712;335;F R;HN;102
EFINOB 31825;Mast;61.71801671;26.44823774;342;F R;HN;104
EFINOB 31832;Mast;62.50244581;25.45593064;335;F R;H24;102
EFINOB 31837;Mast;61.46563019;25.70681216;342;F R;HN;104
